Date,Boats,Anglers,Bluefin,Yellowfin,Yellowtail,Barracuda,Calico,Lingcod
"September 10, 2019",10,287,47,792,0,0,50,1
"September 11, 2019",10,258,19,476,14,0,100,0
"September 12, 2019",9,199,40,622,1,0,150,0
"September 13, 2019",12,328,34,708,36,0,100,0
"September 14, 2019",8,230,9,196,2,0,25,0
"September 15, 2019",10,252,75,207,9,0,0,0
"September 16, 2019",8,197,57,325,1,0,25,0
"September 17, 2019",8,199,14,413,17,0,20,0
"September 18, 2019",8,189,3,318,40,0,5,0
"September 19, 2019",6,156,14,535,1,0,7,0
"September 20, 2019",11,260,4,956,57,0,0,0
"September 21, 2019",7,154,7,419,6,0,6,0
"September 22, 2019",9,343,16,802,26,0,4,0
"September 23, 2019",7,210,2,247,1,0,0,2
"September 24, 2019",10,250,12,144,15,0,0,0
"September 25, 2019",6,139,4,86,29,0,0,1
"September 26, 2019",5,104,66,151,0,0,0,0
"September 27, 2019",11,273,20,399,2,0,35,0
"September 28, 2019",6,150,0,112,0,0,0,0
"September 29, 2019",11,308,52,228,13,0,0,0
"September 30, 2019",5,125,6,206,58,0,0,0
"October 01, 2019",6,156,5,271,307,0,0,1
"October 02, 2019",3,86,2,164,31,0,0,0
"October 03, 2019",7,175,15,338,55,0,0,0
"October 04, 2019",8,208,2,484,30,0,0,0
"October 05, 2019",7,170,0,383,18,0,0,0
"October 06, 2019",11,286,6,578,9,0,3,0
"October 07, 2019",6,136,3,479,2,0,0,0
"October 08, 2019",8,184,5,678,0,0,2,0
"October 09, 2019",3,84,3,420,0,0,0,0
"October 10, 2019",5,115,57,352,0,0,0,0
"October 11, 2019",9,223,58,892,22,0,0,0
"October 12, 2019",4,171,1,226,0,0,0,4
"October 13, 2019",9,277,57,615,81,0,0,0
"October 14, 2019",8,213,16,299,15,0,0,1
"October 15, 2019",6,134,14,172,2,0,0,1
"October 16, 2019",4,124,0,394,0,0,0,1
"October 17, 2019",6,135,8,667,0,0,0,0
"October 18, 2019",7,190,0,412,0,0,0,1
"October 19, 2019",7,173,0,387,0,0,0,0
"October 20, 2019",8,314,15,455,19,0,0,0
"October 21, 2019",8,162,91,547,12,0,0,0
"October 22, 2019",6,153,90,327,13,0,0,0
"October 23, 2019",4,124,10,320,0,0,0,0
"October 24, 2019",7,177,72,308,0,0,0,0
"October 25, 2019",7,152,17,237,0,0,0,0
"October 26, 2019",2,129,0,42,0,0,0,1
"October 27, 2019",9,273,23,24,152,0,0,4
"October 28, 2019",4,101,0,108,0,0,1,4
"October 29, 2019",5,127,2,32,4,0,0,0
"October 30, 2019",4,74,0,28,0,0,0,0
"October 31, 2019",3,36,5,45,0,0,5,0
"November 01, 2019",2,57,17,16,0,0,0,0
"November 02, 2019",3,130,21,66,0,0,0,0
"November 03, 2019",5,169,48,199,0,0,0,0
"November 04, 2019",4,68,29,169,13,0,0,1
"November 05, 2019",5,105,48,130,20,0,0,0
"November 07, 2019",4,131,5,348,0,0,0,0
"November 08, 2019",3,63,12,138,0,0,0,0
"November 09, 2019",3,111,6,184,0,0,0,0
"November 10, 2019",6,192,116,861,0,0,0,0
"November 11, 2019",3,126,0,220,0,0,0,0
"November 12, 2019",3,87,58,291,0,0,0,0
"November 13, 2019",3,66,4,265,0,0,0,0
"November 14, 2019",4,115,81,468,35,0,0,0
"November 15, 2019",4,124,15,145,74,0,0,0
"November 16, 2019",4,137,0,219,185,0,0,0
"November 17, 2019",5,153,62,455,24,0,0,1
"November 18, 2019",3,95,6,365,11,0,0,0
"November 19, 2019",3,98,41,183,0,0,0,1
"November 20, 2019",1,23,33,200,0,0,0,0
"November 22, 2019",1,35,0,55,75,0,0,0
"November 23, 2019",4,101,11,197,15,0,0,0
"November 24, 2019",5,151,65,74,0,0,0,0
"November 25, 2019",4,122,87,30,81,0,0,0
"November 26, 2019",4,149,31,36,101,0,0,2
"November 27, 2019",1,24,0,10,0,0,0,0
"November 30, 2019",2,82,0,0,10,0,0,0
"December 01, 2019",2,60,0,115,2,0,0,0
"December 02, 2019",1,30,0,0,0,0,0,0
"December 03, 2019",2,26,5,8,0,0,0,0
"December 05, 2019",1,9,0,0,0,0,0,0
"December 06, 2019",1,33,0,0,2,0,3,0
"December 07, 2019",2,65,0,0,76,0,0,0
"December 08, 2019",1,18,0,0,0,0,0,0
"December 09, 2019",1,15,0,0,0,0,0,0
"December 10, 2019",1,53,0,0,0,0,2,1
"December 11, 2019",1,31,0,0,27,0,4,0
"December 12, 2019",1,73,0,0,63,0,0,0
"December 13, 2019",1,67,0,0,8,0,0,0
"December 14, 2019",1,51,0,0,0,0,0,0
"December 16, 2019",1,44,0,0,0,0,0,0
"December 17, 2019",1,26,0,0,0,0,0,0
"December 18, 2019",1,21,0,0,7,0,0,0
"December 19, 2019",1,26,0,0,0,0,0,0
"December 20, 2019",2,59,0,0,0,0,0,0
"December 21, 2019",2,58,0,0,0,0,1,1
"December 22, 2019",1,66,0,0,0,0,0,0
"December 24, 2019",1,12,0,0,0,0,0,0
"December 27, 2019",1,50,0,0,1,0,0,0
"December 28, 2019",2,106,0,0,9,0,0,0
"December 29, 2019",2,73,0,0,0,0,1,0
"December 30, 2019",1,31,0,0,0,0,2,0
"December 31, 2019",1,53,0,0,0,0,1,0
